lines_added,lines_deleted,net_churn,files_changed,commits_between,msg_total_length,has_perf_keyword,has_fix_keyword,has_test_keyword,has_refactor_keyword,has_dependency_keyword,project,language,prev_commit,commit,prev_energy_median,curr_energy_median,pct_change,p_value,cliffs_delta,is_regression_naive,is_regression
33,37,70,1,1,34,0,0,0,0,0,docx4j,java,19e43c1d43028c4e91a0acde071721b3814e3f7c,e9cf62cc41bbfe7b7935524bf7057cb7f152e768,132.32,133.05,0.005516928657799412,0.1985058531538877,-0.28,0,0
217,47,264,4,1,118,0,0,0,0,0,docx4j,java,e9cf62cc41bbfe7b7935524bf7057cb7f152e768,c05120cdf86060de0954be9b91be834a37f4b1a9,133.05,133.33,0.002104472003006397,1.0,0.0,0,0
8,2,10,2,1,75,0,1,0,0,0,docx4j,java,c05120cdf86060de0954be9b91be834a37f4b1a9,01aceb37d67b3a6e542e0b1e56cd7a200000bc10,133.33,132.97,-0.002700067501687644,0.8195259356447925,0.05333333333333334,0,0
283,172,455,3,1,55,0,0,0,0,0,docx4j,java,01aceb37d67b3a6e542e0b1e56cd7a200000bc10,44d65e021a5a5bbf9274e0040687b49c8d53acf2,132.97,132.96,-7.52049334435655e-05,0.5614474146848649,0.1288888888888889,0,0
166,15,181,4,1,36,0,0,0,0,0,docx4j,java,44d65e021a5a5bbf9274e0040687b49c8d53acf2,e8d073377513862d31596e1bdd6a1a0d2a1d11ab,132.96,133.54,0.004362214199759206,0.08149464839345506,-0.37777777777777777,0,0
172,104,276,3,1,48,0,0,0,0,0,docx4j,java,e8d073377513862d31596e1bdd6a1a0d2a1d11ab,fea36b92c4c0c12eeb3124cb3acd115a4ab81c58,133.54,132.93,-0.004567919724427027,0.6186695570822622,0.1111111111111111,0,0
101,40,141,2,1,37,0,0,0,0,0,docx4j,java,fea36b92c4c0c12eeb3124cb3acd115a4ab81c58,216ef63bb01501e28a74d1dd3b55b4c5902edad1,132.93,132.73,-0.001504551267584571,0.17759818795139615,0.29333333333333333,0,0
99,37,136,1,1,50,0,0,0,0,0,docx4j,java,216ef63bb01501e28a74d1dd3b55b4c5902edad1,1eb642e2c7c65713d72fc6ad4383b85873edd3f8,132.73,132.94,0.0015821592706999773,0.5337383907275306,-0.13777777777777778,0,0
109,46,155,4,1,39,0,0,0,0,0,docx4j,java,1eb642e2c7c65713d72fc6ad4383b85873edd3f8,d728f7cd898dc3b73fd9b07411b802a8ca32d891,132.94,132.83,-0.0008274409508047632,0.8034625743147712,0.057777777777777775,0,0
90,50,140,3,1,26,0,0,0,0,0,docx4j,java,d728f7cd898dc3b73fd9b07411b802a8ca32d891,1b1d1f3a4b0493b37ad0f49f533dfc3829f8fe2d,132.83,132.91,0.0006022735827748557,0.9669147771731937,-0.013333333333333334,0,0
